,City,date,time,masterclass,hour
0,raipur,2020-07-28,16:46:31,Video Editing,16
1,gurgaon ,2020-07-28,16:46:31,Video Editing,16
2,bhilai,2020-07-28,16:46:31,Video Editing,16
3,pune,2020-07-28,16:46:31,Video Editing,16
4,chennai,2020-07-28,16:46:31,Video Editing,16
5,bangalore,2020-07-28,16:46:31,Video Editing,16
6,pune,2020-07-28,16:46:31,Video Editing,16
7,pune,2020-07-28,16:46:31,Video Editing,16
8,bhopal,2020-07-28,16:46:31,Video Editing,16
9,pune,2020-07-28,16:46:31,Video Editing,16
10,silchar,2020-07-28,16:46:31,Video Editing,16
11,jorhat,2020-07-28,16:46:31,Video Editing,16
12,bilasipara ,2020-07-28,16:46:31,Video Editing,16
13,ahmedabad ,2020-07-28,16:46:31,Video Editing,16
14,bangalore,2020-07-28,16:46:31,Video Editing,16
15,nashik,2020-07-28,16:46:31,Video Editing,16
16,jaipur,2020-07-28,16:46:31,Video Editing,16
17,new delhi,2020-07-28,16:46:31,Video Editing,17
18,jorhat,2020-07-28,16:46:31,Video Editing,17
19,silchar,2020-07-28,16:46:31,Video Editing,17
20,aurangabad,2020-07-28,16:46:31,Video Editing,17
21,faridabad,2020-07-28,16:46:31,Video Editing,17
22,guwahati,2020-07-28,16:46:31,Video Editing,17
23,katihar,2020-07-28,16:46:31,Video Editing,17
24,gurgaon,2020-07-28,16:46:31,Video Editing,17
25,delhi ,2020-07-28,16:46:31,Video Editing,17
26,guwahati,2020-07-28,16:46:31,Video Editing,17
27,pune,2020-07-28,16:46:31,Video Editing,17
28,delhi,2020-07-28,16:46:31,Video Editing,17
29,ghaziabad,2020-07-28,16:46:31,Video Editing,17
30,delhi,2020-07-28,16:46:31,Video Editing,17
31,delhi,2020-07-28,16:46:31,Video Editing,17
32,ajmer,2020-07-28,16:46:31,Video Editing,17
33,ajmer,2020-07-28,16:46:31,Video Editing,17
34,kochi,2020-07-28,16:46:31,Video Editing,17
35,pune,2020-07-28,16:46:31,Video Editing,17
36,lucknow,2020-07-28,16:46:31,Video Editing,17
37,mumbai,2020-07-28,16:46:31,Video Editing,17
38,bangalore,2020-07-28,16:46:31,Video Editing,17
39,jaipur,2020-07-28,16:46:31,Video Editing,17
40,visakhapatnam,2020-07-28,16:46:31,Video Editing,17
41,guwahati,2020-07-28,16:46:31,Video Editing,17
42,delhi,2020-07-28,16:46:31,Video Editing,17
43,"baripada, mayurbhanj",2020-07-28,16:46:31,Video Editing,17
44,kolar,2020-07-28,16:46:31,Video Editing,17
45,lucknow,2020-07-28,16:46:31,Video Editing,17
46,guwahati,2020-07-28,16:46:31,Video Editing,17
47,mumbai,2020-07-28,16:46:31,Video Editing,18
48,delhi,2020-07-28,16:46:31,Video Editing,18
49,janjgir,2020-07-28,16:46:31,Video Editing,18
50,nalbari,2020-07-28,16:46:31,Video Editing,18
51,nalbari,2020-07-28,16:46:31,Video Editing,18
52,nalbari,2020-07-28,16:46:31,Video Editing,18
53,pilani,2020-07-28,16:46:31,Video Editing,18
54,visakhapatnam,2020-07-28,16:46:31,Video Editing,18
